title,prerequisites,description,is_project_based,languages,is_spring_26,url,days (spring 26),times (spring 26),location (spring 26),professor (spring 26)
"COMP_SCI 397, 497: Innovation Lab: Building Technologies for the Law",Permission of instructor,"The Innovation Lab is an interdisciplinary course designed to immerse students in the innovation process. This course focuses on the legal, business, technical, teamwork, design, presentation, and other skills involved in that process. Students will work as part of a multidisciplinary team to explore a problem relating to the legal profession, understand the stakeholders' needs, brainstorm, prototype, and test ideas, and iterate through the develop. Our process combines user and audience research, design thinking, critical and analytical work, iterative building, storytelling, new technology, and a healthy dose of experimentation--often within the confines of a single, specific problem. Each quarter, we create multidisciplinary teams of Northwestern students, faculty, and professionals to collaborate on projects we believe are important for the future of media. That could mean everything from making obscure data more available to journalists to solving questions around how to best navigate space in virtual reality. The Lab places students at the center of these important problems for 10 weeks. We work together to identify problems and to find solutions. The class is a team-based, cooperative lab experience for students who want to create and explore new tools, stories, story forms, and physical devices. We expect students to spend at least six hours a week on the project outside of class, preferably with their team. Students are at the center of each project, determining the best roadmap based on research, creative work, and iterative design based on user testing and interviews. Each project we're tackling this quarter, then, has its own set of milestones, some of which will be generated by the students. Final project will also vary in nature, but each final presentation will include a demo, supporting materials (a Github repository, prototypes, and/or technical documentation, depending on the group. Whenever possible the Lab tries to work in the open—we're open-sourcing not only our code, but the thought process behind our work. The Lab is designed to facilitate collaboration, productivity, and project-driven learning. We follow an agile development process that includes design-based research, scrum, structured critiques, pair research and programming, and code review. All students will work in teams with responsibility shared among members. In particular, students work in cross-functional teams. Our expectation is that all team members will participate in the framing, architecture and implementation of projects. When a group presents to the larger class, students are expected to explain what they did, why they did it, and how it addresses the user needs identified by the team. Students are not required to put together a slide deck, but structured presentations are a must. Our meetings will move quickly, so we aim to make the most of our time together. All team members must present at least twice during the quarter. At the end of the quarter, students will present a working prototype or researching findings, as well as a companion piece that details their process along the way. This course fulfills the Project or Technical Elective area. COURSE INSTRUCTOR: Prof. Kristian Hammond & Prof. Daniel W. Linna Jr.",1,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-15.html,,,,
COMP_SCI 463: Generative Deep Models,CS PhD students or Permission of Instructor,"Deep learning is a branch of machine learning based on algorithms that try to model high-level abstract representations of data by using multiple processing layers with complex structures. One of the most exciting areas of research in deep learning is that of generative models. Today’s generative models create text documents, write songs, make paintings and videos, and generate speech. This course is dedicated to understanding the inner workings of the technologies that underlie these advances. Students will learn about key methodologies, including Variational Autoencoders (VAEs), Generative Adversarial Networks (GANs), and Transformer-based language models.  This is an advanced course that presumes a good working understanding of traditional supervised neural network technology and techniques (e.g. convolutional networks, LSTMs, loss functions, regularization, gradient descent). Formerly Comp_Sci 496 - last offer was Fall 2024 This course fulfills Technical Elective area. REQUIRED TEXTBOOK: Advanced research papers in the field. REFERENCE TEXTBOOKS: (not required purchases) The focus will be on research papers published in the field. COURSE COORDINATOR: Prof. Bryan Pardo COURSE GOALS: The goal of this course is to familiarize graduate students (and advanced undergraduates) with the current state-of-the-art in machine generation of speech, music, still images and video using Deep Learning architectures. Students will read recently published papers in the field and become well informed on at least one sub-field within this area. DETAILED COURSE TOPICS: What follows is an example syllabus. As topics of current interest in the field shift, course content will vary to reflect research trends. Week 1: Autoencoders Week 2: Variational Autoencoders (VAEs) Week 3: Conditional VAEs and Wasserstein VAEs Week 4: Generative Adversarial Networks (GANs) Week 5: Conditional GANs Week 6: Transformers & Language Modeling Week 7: Recent Transformer Architectures (BERT, GPT-3) Week 8: Creative Applications of Generative Models Week 9: Societal Impacts (Deep Fakes, Adversarial Examples) Week 10: Student Project Presentations ASSIGNMENTS: Presentation on topic (30%) Research paper synopses (30%) Final project (30%) Class participation (10%) COURSE OBJECTIVES: When a student completes this course, s/he should: have a general understanding of the current state-of-the art in generative models. be able to distill large amounts of research into coherent summaries. be able to think critically about work in the field.",1,,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/463.html,We,2:00PM-4:50PM,Tech Institute,Bryan Pardo
COMP_SCI 496: Quantum Computer Systems,,"Quantum computation has been shown, theoretically, to provide substantial speedups when applied to select problems. While emerging quantum hardware has shown potential for encoding and transforming quantum states, current quantum technology remains in its prototype stage. Ultimately, quantum systems require reduced error rates and increased capacity to realize meaningful quantum computation. This course will explore the architecture of quantum computer systems, along with the challenges involved in making quantum computing technology practical. We will review progress toward developing the quantum compute stack, with a focus on software developments. This course is primarily targeted toward PhD students, but undergraduate and MS students interested in quantum systems research are also welcome. Students are expected to have a basic understanding of quantum computing principles (e.g., qubits, quantum circuits, and entanglement) before starting this course. This course fulfills the Technical Elective area. Prerequisites: Undergraduate students - CS 396, 496: Foundations of Quantum Computing and Quantum Information. PhD students – Course equivalent to CS 396, 496: Foundations of Quantum Computing and Quantum Information or relevant experience/expertise from independent study. If the latter, instructor permission is required. COURSE INSTRUCTOR: Prof. Kate Smith",0,,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-9.html,TuTh,11:00AM-12:20PM,Tech Institute,Kate (Kaitlin) Smith
COMP_SCI 353: Natural & Artificial Vision,Math 228-1 or Math 230-1 and Gen_Eng 205-1 or Math 240. Instructor Permission - Application: https://forms.gle/VYDJdoZddZ9ZydPx9,"This course covers the mathematical operations underlying computer vision and their embodiment in naturally-occurring visual systems. Students will learn basics of image processing, neuroscience, and computational imaging. Instructor Permission - Application: https://forms.gle/VYDJdoZddZ9ZydPx9 Formerly Comp_Sci 396 - last offer was Spring 2024 This course fulfills Interface Breadth or Technical Elective area. REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Prof. Emma Alexander COURSE INSTRUCTOR: Prof. Emma Alexander COURSE GOALS:",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/353.html,,,,
COMP_SCI 352: Machine Perception of Music & Audio,"Prior programming experience sufficient to be able to do laboratory assignments in PYTHON, implementing algorithms and using libraries without being taught to do so (there is no language instruction on Python). Having taken COMP_SCI 211 and COMP_SCI 214 would demonstrate this experience.","Machine extraction of musical structure in audio, MIDI and score files, covering areas such as source separation and perceptual mapping of audio to machine-quantifiable measures. Approved for Interfaces Breadth. REQUIRED TEXTBOOK : Fundamentals of Music Processing COURSE COORDINATOR: Prof. Bryan Pardo COURSE INSTRUCTOR: Prof. Bryan Pardo DETAILED COURSE TOPICS: See the course webpage at... http://www.cs.northwestern.edu/~pardo/courses/eecs352/index.php ASSIGNMENTS: See the course webpage at... http://www.cs.northwestern.edu/~pardo/courses/eecs352/index.php COURSE OBJECTIVES: When a student completes this course, s/he should: have a basic understanding of how audio is encoded by computers understand the basics of human audio perception of sound be able to create tools to find salient structures in music audio be able to understand current research in the music information retrieval community be able to think critically about arts and technology",0,,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/352.html,TuTh,3:30PM-4:50PM,Tech Institute,Jason Smith
COMP_ENG 361: Computer Architecture I,(COMP_ENG 205 or COMP_SCI 213) and (COMP_ENG 303 or COMP_ENG 355) or graduate standing,"Design and understanding of the computer system as a whole unit. Performance Evaluation and its role in computer system design; Instruction Set Architecture design, Datapath design and optimizations (e.g., ALU); Control design; Single cycle, multiple cycle and pipeline implementations of processor; Hazard detection and forwarding; memory hierarchy design; Cache memories, Virtual memory, peripheral devices and I/O. REQUIRED TEXTS : Computer Organization and Design: The Hardware/Software Interface , Fifth Edition. David A. Patterson and John L. Hennessy; Publisher: Morgan Kaufmann. Publication Date: 2013. ISBN-13: 978-0124077263 ISBN-10: 0124077269 COURSE INSTRUCTOR: Prof. Russ Joseph COURSE COORDINATORS: Prof. Nikos Hardavellas COURSE GOALS: To teach designing a complete computer system. Includes designing instruction set architecture, datapaths, control, memory hierarchy including cache memories, virtual memory and I/O systems. PREREQUISITES BY TOPIC: Basic logic design Understanding adders, multipliers and dividers Assembly language DETAILED COURSE TOPICS: Week 1: Introduction: Components of a computer system. Evolution of Technology. Factors affecting computer systems design (e.g., technology, applications, performance requirements). READING : Chapter 1. Week 2: Impact of performance in computer system design. Measuring performance, performance metrics, interpreting performance, selecting applications and programs for performance evaluation, comparing and summarizing performance. Benchmarks (SPEC 92) and their results on some real machines. How not to evaluate performance. READING : Chapter 2. Week 3: Instruction Set Architecture design. The role of an instruction set. interface between hardware and software; issues to consider when designing an instruction set; addressing modes. READING : Chapter 3. Week 4: Arithmetic and Logic Units (ALU) for computers. Number system, addition and subtract, adders; multiplication and multipliers; division and dividers; floating point numbers and floating point units; Examples from existing systems. READING : Chapter 4. Week 5: Processor Design. Datapath and control; single cycle design and implementation; simplifying control design; multicycle implementation of datapath and control; example from a real system. READING : Chapter 5. Week 6: Pipelining. Basic concepts in pipelining; datapath for pipeline processor implementation, data hazard and forwarding, data hazard and stalling; control design for pipelines, superscaler design; Examples. READING : Chapter 6. Week 7: Memory Hierarchy: Cache memories. Introduction to caches, measuring and improving performance of caches; design alternatives, direct map, associative caches; replacement policies; examples. READING Chapter 7. Week 8: Virtual Memory: basic design, address translation, placement and replacement; cost and performance issues; common framework for memory hierarchies, Translation Lookaside Buffers. READING Chapter 7. Week 9: Input-Output and Peripheral Devices. I/O performance and measures, technology and characteristics of disks. Busses and protocols. Connecting I/O devices to memory and processor. READING Chapter 8. Week 10: I/O systems design. RAIDs. Memory bandwidth and bus bandwidth requirements for graphics. Example of a typical I/O system. Introduction to multiprocessors. Summary/ READING: Chapter 8 and 9. COMPUTER USAGE: Students use Mentor Graphics design tool to implement a simple single cycle processor with limited instruction set. Use processor simulators to learn and evaluate working of processors. Cache simulators to evaluate cache memory performance. PROJECT: A quarter long project that entails designing a single cycle processor using mentor graphics tool and its evaluation using simple programs. Each week students submit progress on additions to the design. GRADES: Five homeworks - 20 % Project - 30 % Midterm exam - 20% Final exam - 30% COURSE OBJECTIVES: When a student completes this course, s/he should be able to: •  Understand the architecture of a basic computer system and its components, and the role of performance in designing computer systems. •  Understand how to design and instruction set and its impact on processor design. To design ALU and processor datapath and control. •  Design pipeline processor including datapath and control, and design to detect and resolve hazards. •  Understand memory hierarchy design and its impact on overall processor performance. Design cache memory based on the characteristics of the expected workload. Understand the workings of virtual memory and efficient design for TLBs •  Understand the I/O system and its design. Be Knowledgeable about Busses and bandwidth requirements to support heterogeneous I/O devices. Understand the disk technology and its impact on performance. ABET CONTENT CATEGORY: 100% Engineering (Design component).",1,,0,https://www.mccormick.northwestern.edu/electrical-computer/academics/courses/descriptions/361.html,,,,
COMP_SCI 496: Evolutionary Computation,CS MS or ME MS or Chem_ENG MS or CS PhD or ME PhD or Chem_ENG PhD or Instructor permission,"This course will guide students on their own intellectual journey in evolutionary computation. Early lectures provide a jumping off point — an overview of genetic algorithms, evolutionary strategies, and genetic programming. Students will immediately begin implementing these methods in a programming language of their choice, and present their progress to the class throughout the quarter. After that, the lecturing stops. We will read important historical and trending contemporary papers together and discuss as a group. Students or teams of students will work toward a final project of their choice. Strong prior programming experience is required. This course fulfills the Technical Elective area. COURSE COORDINATORS: Sam Kriegman COURSE INSTRUCTOR: Sam Kriegman",1,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-25.html,,,,
COMP_SCI 333: Interactive Information Visualization,COMP_SCI 214,"When well designed, visual displays of data capitalize on human facilities for processing information and improve comprehension, memory, inference, and decision making. Creating visualizations is getting easier thanks to a proliferation of digital tools for transforming and visualizing data. Yet the best visualizations are still often creating by skilled human designers who have considerable experience with design analysis. In this course we will consider what it means for a visualization to be effective and what sorts of principles, techniques and algorithms from statistics, graphic design, databases, perceptual psychology, cognitive science and related fields can help us create effective visualizations. Though there are different uses of the term “visualization” in popular media, for the purposes of this class, we will treat information visualization as the use of interactive interfaces to visually represent abstract data. The course is targeted both towards students interested in using visualization in their own work, as well as students interested in building better visualization tools and systems.  In addition to participating in class discussions, students will demonstrate their learning through weekly short quizzes and several assignments requiring visualization design, exploratory data analysis, and interactive visualization implementation. In addition to being comfortable programming, students should have a basic working knowledge of, or willingness to learn, a graphics API. We we will cover introductory D3 in class to get you started, but this is not a JavaScript or web development course. Students will be expected to self-study to learn JavaScript and other basic web technologies (HTML, CSS) if they are not familiar with them. Formerly COMP_SCI 396/496 . This course satisfies Interface breadth requirement. COURSE COORDINATORS: Prof. Jessica Hullman COURSE INSTRUCTOR: Prof. Kay or Prof. Jessica Hullman (Fall)",0,JavaScript,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/333.html,MoWe,11:00AM-12:20PM,Frances Searle Building,Matthew Kay
COMP_SCI 211: Fundamentals of Computer Programming II,COMP_SCI 111 and 150,"CATALOG DESCRIPTION: CS 211 teaches foundational software design skills at a small-to-medium scale. We aim to provide a bridge from the student-oriented How to Design Programs languages to real, industry-standard languages and tools. In the first half of the course, you’ll learn the basics of imperative programming and manual memory management using the C programming language. In the second half of the course, we’ll transition to C++, which provides abstraction mechanisms such as classes and templates that we use to express our design ideas. Topics include expressions, statements, types, functions, branches and iteration, user-defined types, data hiding, basic UNIX shell usage, and testing. T his course is a required Core course in the CS curriculum in McCormick and Weinberg REQUIRED TEXTBOOK : N/A COURSE INSTRUCTOR: Prof. Joe Hummel (Fall & Spring) or Prof. Yiji Zhang (Winter) COURSE COORDINATOR: Prof. Joe Hummel or Prof. Yiji Zhang PREREQUISITE: COMP_SCI 111 and 150 DETAILED COURSE TOPICS: C/C++ Introduction to software engineering. Basic data types, variables, computer arithmetic, expressions, parentheses. Basic I/O – cout, cin. Introduction to classes – defining one's own data types Flow of control – sequential, test-and-branch, and iteration. Boolean expressions. Arrays, pointers, and strings. Functions: call by value and call by reference, references vs. pointers, stack frames. Function overloading INTRODUCTION TO CLASSES: Structures and classes, data hiding and encapsulation. Public and private members, constructors, unions. Interface vs. implementation. Class destructors and copy constructors, the = operator, deep versus shallow copies. C++ operator overloading. Heap space, the new/delete operators. Inheritance and derived classes, is-a hierarchies and composition of classes. Virtual functions and polymorphism. Linked list processing: stacks and queues, trees and recursion. Introduction to UNIX – processes, file management, redirection and piping, make files. GRADES: Varies by instructor",0,C,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/211.html,TuTh,2:00PM-3:20PM,Tech Institute,Joseph Hummel
COMP_SCI 396: Software Design Principles and Practices,CS 211 and CS 214 or MS CS or PhDs CS or PhD CS+LS or PhD TSB or permission of Instructor,"In this course, students will explore software design principles like S.O.L.I.D. by learning the object-oriented design patterns introduced by the Gang of Four (GoF). We will critically examine each design pattern, discussing the underlying design principles and the reasons for their necessity. Additionally, we will address the potential misuse and overuse of these patterns and principles. Students will analyze the trade-offs between different design solutions for the same problem and model software using UML diagrams. This course fulfills the Technical Elective area. COURSE COORDINATORS: Prof. Yiji Zhang COURSE INSTRUCTOR: Prof. Yiji Zhang (Spring)",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-14.html,,,,
COMP_SCI 497: Prediction for Decision-Making,CS PhD students or permission of instructor,"In this seminar course, we will consider what it means to make good predictions for the purpose of assisting decision-making. Powerful prediction models are increasingly available in domains like medicine, finance, and criminal justice. However, there is often a mismatch between the ways in which these models are developed–e.g., to minimize population level loss–and the needs of decision-makers who could benefit from the models. For example, how can we best deploy AI/ML models when the quality of individual decisions are important in a domain, such as when we must be able to ensure that a specific decision was not biased or obviously inferior to some alternative decision based on the same information? What do we gain by accounting for knowledge about the downstream decision task in training a model, and how do we best incorporate this information in the modeling-to-decision pipeline? When and how can we predict whether additional information or abilities a human decision-maker may have over model predictions will lead them to outperform a learned decision rule? This course will cover recent and classic attempts to characterize good prediction for decision-making. Topics will include human versus algorithmic judgment, model-assisted human decision making, uncertainty quantification and calibration, individualized treatment rules, and algorithmic fairness. This course satisfies the Project or Technical Elective. Coursework: Students will prepare and lead discussions on the papers selected. Coursework includes a   midterm essay and a preliminary study for a research project. INSTRUCTOR: Prof. Jessica Hullman",1,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-8.html,,,,
COMP_SCI 338: Practicum in Intelligent Information Systems,COMP_SCI 348 or COMP_SCI 349 or COMP_SCI 330 or COMP_SCI 339,"A practical excursion into the building of Intelligent Information Systems. Each student will develop a working program in the area of information access, management, capture, or retrieval. Project definition, data collection, technology selection, implementation, and project management. Semantics-oriented introduction to natural language processing, broadly construed. Representation of meaning and knowledge inference in story understanding, script/frame theory, plans and plan recognition, counter-planning, and thematic structures. This course satisfies the Software Development Breadth and project requirement. COURSE INSTRUCTOR: Prof. Kristian Hammond (Fall & Spring) COURSE COORDINATORS: Prof. Larry Birnbaum & Prof. Kristian Hammond REQUIRED TEXTS: None PREREQUISITES: None",1,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/338-1.html,,,,
"COMP_SCI 396, 496: Misinformation and Disinformation in the Age of AI",CS seniors and CS grad students only,"Exponential improvements in technology, together with the upcoming 2024 federal elections, set the stage for artificial intelligence-powered content to sow mistrust and chaos in our society. This course will explore the intersection of new computing technologies and the critical role of news media, journalism, and information in a functioning democracy. Students will understand how mis- and disinformation are created and disseminated in our digital age, through an interdisciplinary lens aiming to bring together the perspectives of journalism, mass communication, technology, and psychology. We will examine and analyze the effects of false information on public opinion, and the methods (technological and otherwise) through which it is created and promulgated, through a combination of lectures, readings, and discussion. Fundamentally interdisciplinary, this course will approach these critical issues from multiple perspectives. The course aims to equip students with the knowledge and skills needed to understand the complex landscape of information in the digital era, and to help identify technological, social, educational, and legal mechanisms for addressing our current challenges. This course fulfills the CS Technical Elective requirement. This course cross-list with JOUR 390-27/JOUR 490-28. REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Prof. Larry Birnbaum COURSE INSTRUCTOR : Prof. Larry Birnbaum & Jeremy D Gilbert",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-9.html,,,,
COMP_SCI 396: LLM-Assisted Security,"Comp Sci 450, or good AI and security background (instructor permission).","Cybercrime has exploded over the last two decades. In this course, we will apply the latest AI techniques, especially the large language model (LLM) to solve state-of-the-art security problems.   We will address security challenges and counter-attack schemes for a few major emerging security areas: automatic penetration testing, cloud native security, and multi-modal generative AI security .  This course is intended for both CS and CE advanced undergraduates and graduate students.  During the course, we will read and discuss research papers, and identify a list of open research problems, from which the students can choose their class projects.  There will be no exams. This course fulfills the Technical Elective area. This course fulfills the Technical Elective area. REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Prof. Yan Chen COURSE INSTRUCTOR: Prof. Yan Chen (Winter)",1,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-20.html,,,,
COMP_ENG 362: Computer Architecture Project,COMP_ENG 361 and COMP_SCI 230 or COMP_SCI 211,"Quarter long team project that entails designing a processor for a complete Instruction Set. Involves ISA design, design of components, datapath and control for a pipelined processor to implement the ISA. The design is performed using industry strength design tools and VHDL is used as the design specification language. The design is evaluated using benchmark programs for correctness and performance. REQUIRED TEXTS: D. Patterson and J. Hennessey, Computer Organization and Design: The Hardware/Software Interface , Morgan Kaufmann, 3rd edition (2004) REFERENCE TEXTS: J. Hennessey and D. Patterson, Computer Architecture: A Quantitative Approach , Morgan Kaufmann, 3rd edition (2002) INSTRUCTOR: Panitan Wongse-Ammat COURSE COORDINATOR: Prof. Russ Joseph COURSE GOALS: To learn designing and implementing processor architecture and learn to work in design teams. To understand the design process based on requirements and then implementing and evaluating the design using tools. PREREQUISITES BY TOPIC: Instruction Set Architecture Understanding adders, multipliers and dividers Datapath, Control, Pipelining DETAILED COURSE TOPICS: Week 1: Form teams. Understand project. Learn instruction set for which processor will be designed. Week 2: Each team presents a ""first"" plan for the processor design, validation and evaluation. Begin to assign OPCODES to ISA. Week 3: Present a refined plan of processor. Start implementing components for ALU and control using design tools and VHDL. Week 4: Present the progress in previous week and describe how the problems faced during last week were solved. Describe progress on component implementation. Present plan for component integration. Week 5: Present the progress in previous week and describe how the problems faced during last week were solved. Describe progress on component implementation. Present the final design of the processor including control. Midterm presentations on the design. Week 6: Present the progress in previous week and describe how the problems faced during last week were solved. Describe progress on component implementation. Demonstrate progress on integration of components. Present the testing of components and overall test and evaluation plan. Adapt application codes to be evaluated. Week 7: Present the progress in previous week and describe how the problems faced during last week were solved. Describe progress on integration. Demonstrate the current design for initial evaluation. Week 8: Present the progress in previous week and describe how the problems faced during last week were solved. Demonstrate simple programs running against the processor simulator (written in VHDL). Week 9: Present the progress in previous week and describe how the problems faced during last week were solved. Demonstrate bug fixes and performance enhancements. Week 10: Present the progress in previous week and describe how the problems faced during last week were solved. Demonstrate the final design against benchmark programs, Present the overall design report. COMPUTER USAGE: Students use Mentor Graphics design tools and VHDL to implement a pipelined processor. PROJECT: The class is a quarter long team project to design a pipelined processor. GRADES: Homeworks/Weekly Presentations - 25 % Project-Final Design - 75 % COURSE OBJECTIVES: When a student completes this course, s/he should be able to: Understand the design process for computers and learn how to work in teams to achieve the goals of the project. Understand the architecture of a basic computer system and its components, and the role of performance in designing computer systems. Understand how to design and instruction set and its impact on processor design. To design ALU and processor datapath and control. Design pipeline processor including datapath and control, and design to detect and resolve hazards. Understand how to use CAD tools to design a processor. ABET CONTENT CATEGORY: 100% Engineering (Design component).",1,,0,https://www.mccormick.northwestern.edu/electrical-computer/academics/courses/descriptions/362.html,,,,
COMP_SCI 354: Computer System Security,CS 213 or COMP_ENG 205 and CS 211,"This course will focus on remote computer penetration (hacking). The class will introduce basic theory for many different types of attacks; then we will actually carry them out in 'real-world' settings. The goal is to learn security by learning how to view your machine from a hacker's perspective. In addition, we encourage students to participate in the UCSB International Capture the Flag Competition. Capture the Flag is a network security exercise where the goal is to exploit other machines while defending your own. In fact, this course should prepare you for any one of many capture the flag competitions that take place year round. We will learn about different types of hacks and preform them. After learning how to execute such exploits and penetrate a network, we will discuss ways to protect a network from others exploiting the same vulnerabilities. Understanding security is essential in all fields of software development and computing. For major or minors in Computer Science, this course can satisfy the 1) systems breadth, 2) systems depth and 3) security depth areas. If you have any questions, please contact one of the instructors below. This course satisfies the Systems breadth & project requirement. REQUIRED TEXTBOOK: None. For a full list of class readings, see: http://hamsa.cs.northwestern.edu/readings/ RECOMMENDED TEXTBOOKS: "" Network Security - Private Communication in a Public World"" by Charlie Kaufman, Radia Perlman and Mike Speciner; 2nd Edition, Prentice Hall, 2002 ""Cryptography and Network Security"" , by William Stallings, 7th Edition, Prentice Hall, 2015. COURSE COORDINATOR: Prof. Yan Chen PREREQUISITES: COMP_SCI 213 (Introduction to Systems) or COMP_ENG 205 and COMP_SCI 211 HOMEWORK AND PARTICIPATION: Homework will focus on putting to use techniques learned in class. Most of the material is best learned through trial and error, so we will be spending a good amount of class time working on learning different types of exploits. In addition to this, there will be a day later in the quarter when we plan to do a mock Capture the Flag tournament. The logistics will be discussed in class, but this will add valuable experience for the competition in which we plan to enroll. At the end of the quarter, all students will be expected to participate in the UCSB International Capture the Flag Competition as part of Northwestern's team. LABORATORY: None GRADES: 25% Participation (labs) 40% Homework (individual projects) 35% Final Exam 5-10% (bonus) for participating in the iCTF For the labs, please remember to check out with one of the teaching staff at the end of each lab. If you cannot finish it in class, you are expected to finish it within a week. You can check out at TA office hours or the next lab. If you have some emergency, you can check out later. The final deadline is Nov. 26. But don't wait till that date. You will have more and more workload piled up... We would like to foster a community for students in this class to help each other with projects (without giving solutions, of course). COMMUNICATION: This class website can be found at http://hamsa.cs.northwestern.edu. The website will be used to host files presented and used in class. In addition, we will use a Google Group, Network Penetration and Security, for communication and discussion. Please join this group as soon as possible. The group can be found at http://groups.google.com/group/nuctf.",1,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/354.html,,,,
COMP_SCI 394: Agile Software Development,By permission only.,"See the course page on how to apply for this course: http://www.cs.northwestern.edu/academics/courses/394/ Developing mobile and web applications, using modern sustainable agile practices, such as backlogs, user stories, velocity charts, and test driven development, to deliver value as quickly as possible to end users, clients, developers, and the development organization. This course satisfies the Software Development Breadth & project requirement. COURSE WEBSITE: Read More REQUIRED TEXTBOOK : The Agile Samurai by Jonathan Rasmusson REFERENCE TEXTBOOKS: None COURSE COORDINATOR: Prof. Chris Riesbeck COURSE INSTRUCTOR: Prof. Chris Riesbeck or Prof. Todd Warren COURSE GOALS: The goal of this class is to provide students with skills in teamwork and objective-based development and give them the ability or build a development team as a leader and architect as well as a programmer and developer. COURSE OUTCOMES: In the course of doing this work, individuals will develop skills in: Project planning and management Client management and project definition A testing based approach to development Team management and ongoing schedule tracking Pair programming Scope management",1,,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/394.html,MoWe,9:30AM-10:50AM,University Hall,Christopher Riesbeck
COMP_SCI 394: Agile Software Development,By permission only.,"See the course page on how to apply for this course: http://www.cs.northwestern.edu/academics/courses/394/ Developing mobile and web applications, using modern sustainable agile practices, such as backlogs, user stories, velocity charts, and test driven development, to deliver value as quickly as possible to end users, clients, developers, and the development organization. This course satisfies the Software Development Breadth & project requirement. COURSE WEBSITE: Read More REQUIRED TEXTBOOK : The Agile Samurai by Jonathan Rasmusson REFERENCE TEXTBOOKS: None COURSE COORDINATOR: Prof. Chris Riesbeck COURSE INSTRUCTOR: Prof. Chris Riesbeck or Prof. Todd Warren COURSE GOALS: The goal of this class is to provide students with skills in teamwork and objective-based development and give them the ability or build a development team as a leader and architect as well as a programmer and developer. COURSE OUTCOMES: In the course of doing this work, individuals will develop skills in: Project planning and management Client management and project definition A testing based approach to development Team management and ongoing schedule tracking Pair programming Scope management",1,,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/394.html,MoWe,3:30PM-4:50PM,Tech Institute,Todd Warren
"COMP_SCI 397, 497: Selected Topics in Computer Networks",Recommended: CS 340 or equivalent networking course,"The course will cover a broad range of topics including congestion control, routing, analysis and design of network protocols (both wired and wireless), data centers, analysis and performance of content distribution networks, network security, vulnerability, and defenses, net neutrality, and online social networks.",0,,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-12.html,TuTh,12:30PM-1:50PM,Tech Institute,Aleksandar Kuzmanovic
